Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;;Residents abroad;2023M08;594.000
Number of stays;National Total;;Residents abroad;2023M07;566.000
Number of stays;National Total;;Residents abroad;2023M06;495.000
Number of stays;National Total;;Residents abroad;2023M05;522.000
Number of stays;National Total;;Residents abroad;2023M04;477.000
Number of stays;National Total;;Residents abroad;2023M03;364.000
Number of stays;National Total;;Residents abroad;2023M02;302.000
Number of stays;National Total;;Residents abroad;2023M01;270.000
Number of stays;National Total;;Residents abroad;2022M12;281.000
Number of stays;National Total;;Residents abroad;2022M11;294.000
Number of stays;National Total;;Residents abroad;2022M10;431.000
Number of stays;National Total;;Residents abroad;2022M09;459.000
Number of stays;National Total;;Residents abroad;2022M08;502.000
Number of stays;National Total;;Residents abroad;2022M07;497.000
Number of stays;National Total;;Residents abroad;2022M06;429.000
Number of stays;National Total;;Residents abroad;2022M05;418.000
Number of stays;National Total;;Residents abroad;2022M04;366.000
Number of stays;National Total;;Residents abroad;2022M03;282.000
Number of stays;National Total;;Residents abroad;2022M02;229.000
Number of stays;National Total;;Residents abroad;2022M01;176.000
Number of stays;National Total;;Residents abroad;2021M12;205.000
Number of stays;National Total;;Residents abroad;2021M11;228.000
Number of stays;National Total;;Residents abroad;2021M10;293.000
Number of stays;National Total;;Residents abroad;2021M09;264.000
Number of stays;National Total;;Residents abroad;2021M08;290.000
Number of stays;National Total;;Residents abroad;2021M07;252.000
Number of stays;National Total;;Residents abroad;2021M06;135.000
Number of stays;National Total;;Residents abroad;2021M05;108.000
Number of stays;National Total;;Residents abroad;2021M04;60.000
Number of stays;National Total;;Residents abroad;2021M03;50.000
Number of stays;National Total;;Residents abroad;2021M02;32.000
Number of stays;National Total;;Residents abroad;2021M01;37.000
Number of stays;National Total;;Residents abroad;2020M12;48.000
Number of stays;National Total;;Residents abroad;2020M11;35.000
Number of stays;National Total;;Residents abroad;2020M10;56.000
Number of stays;National Total;;Residents abroad;2020M09;60.000
Number of stays;National Total;;Residents abroad;2020M08;137.000
Number of stays;National Total;;Residents abroad;2020M07;131.000
Number of stays;National Total;;Residents abroad;2020M06;18.000
Number of stays;National Total;;Residents abroad;2020M05;8.000
Number of stays;National Total;;Residents abroad;2020M04;7.000
Number of stays;National Total;;Residents abroad;2020M03;121.000
Number of stays;National Total;;Residents abroad;2020M02;280.000
Number of stays;National Total;;Residents abroad;2020M01;250.000
Number of stays;National Total;;Residents abroad;2019M12;273.000
Number of stays;National Total;;Residents abroad;2019M11;280.000
Number of stays;National Total;;Residents abroad;2019M10;451.000
Number of stays;National Total;;Residents abroad;2019M09;502.000
Number of stays;National Total;;Residents abroad;2019M08;540.000
Number of stays;National Total;;Residents abroad;2019M07;507.000
Number of stays;National Total;;Residents abroad;2019M06;467.000
Number of stays;National Total;;Residents abroad;2019M05;442.000
Number of stays;National Total;;Residents abroad;2019M04;398.000
Number of stays;National Total;;Residents abroad;2019M03;309.000
Number of stays;National Total;;Residents abroad;2019M02;257.000
Number of stays;National Total;;Residents abroad;2019M01;251.000
Number of stays;National Total;;Residents abroad;2018M12;248.000
