Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of nights;National Total;13 Madrid, Comunidad de;Total;2018M03;212.000
Number of nights;National Total;13 Madrid, Comunidad de;Total;2018M02;184.000
Number of nights;National Total;13 Madrid, Comunidad de;Total;2018M01;176.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M09;""
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M08;""
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M07;""
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M06;116.377
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M05;106.061
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M04;98.281
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M03;117.640
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M02;108.636
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2024M01;97.541
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M12;146.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M11;110.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M10;100.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M09;99.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M08;83.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M07;92.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M06;91.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M05;77.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M04;93.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M03;83.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M02;82.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2023M01;85.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M12;115.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M11;82.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M10;81.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M09;77.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M08;67.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M07;69.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M06;64.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M05;60.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M04;70.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M03;62.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M02;64.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2022M01;62.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M12;83.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M11;61.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M10;70.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M09;61.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M08;63.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M07;60.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M06;55.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M05;51.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M04;42.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M03;46.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M02;39.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2021M01;39.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M12;44.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M11;38.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M10;34.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M09;44.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M08;44.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M07;48.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M06;33.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M05;16.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M04;10.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M03;33.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M02;82.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2020M01;73.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M12;92.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M11;81.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M10;70.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M09;67.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M08;55.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M07;62.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M06;65.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M05;57.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M04;64.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M03;67.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M02;66.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2019M01;61.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M12;84.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M11;75.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M10;67.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M09;66.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M08;51.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M07;57.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M06;63.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M05;56.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M04;59.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M03;67.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M02;62.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents in Spain;2018M01;59.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M09;""
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M08;""
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M07;""
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M06;309.782
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M05;339.176
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M04;303.333
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M03;255.495
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M02;209.302
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2024M01;201.272
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M12;195.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M11;233.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M10;310.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M09;271.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M08;202.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M07;228.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M06;245.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M05;254.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M04;237.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M03;201.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M02;159.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2023M01;164.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M12;153.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M11;179.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M10;238.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M09;217.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M08;167.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M07;190.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M06;194.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M05;196.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M04;169.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M03;148.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M02;115.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2022M01;115.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M12;110.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M11;122.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M10;135.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M09;120.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M08;97.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M07;92.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M06;64.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M05;59.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M04;52.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M03;49.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M02;35.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2021M01;32.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M12;27.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M11;26.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M10;30.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M09;38.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M08;35.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M07;32.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M06;12.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M05;10.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M04;12.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M03;81.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M02;172.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2020M01;167.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M12;170.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M11;180.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M10;252.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M09;229.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M08;166.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M07;190.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M06;222.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M05;221.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M04;192.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M03;173.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M02;138.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2019M01;139.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M12;137.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M11;149.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M10;222.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M09;195.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M08;150.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M07;179.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M06;175.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M05;196.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M04;179.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M03;145.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M02;122.000
Number of nights;National Total;13 Madrid, Comunidad de;Residents abroad;2018M01;118.000
Number of nights;National Total;14 Murcia, Región de;Total;2024M09;""
Number of nights;National Total;14 Murcia, Región de;Total;2024M08;""
Number of nights;National Total;14 Murcia, Región de;Total;2024M07;""
Number of nights;National Total;14 Murcia, Región de;Total;2024M06;63.064
Number of nights;National Total;14 Murcia, Región de;Total;2024M05;47.784
Number of nights;National Total;14 Murcia, Región de;Total;2024M04;38.304
Number of nights;National Total;14 Murcia, Región de;Total;2024M03;45.327
Number of nights;National Total;14 Murcia, Región de;Total;2024M02;32.292
Number of nights;National Total;14 Murcia, Región de;Total;2024M01;27.634
Number of nights;National Total;14 Murcia, Región de;Total;2023M12;32.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M11;26.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M10;41.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M09;51.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M08;107.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M07;87.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M06;48.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M05;34.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M04;43.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M03;24.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M02;23.000
Number of nights;National Total;14 Murcia, Región de;Total;2023M01;21.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M12;26.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M11;21.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M10;32.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M09;44.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M08;92.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M07;79.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M06;45.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M05;28.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M04;35.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M03;18.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M02;17.000
Number of nights;National Total;14 Murcia, Región de;Total;2022M01;15.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M12;19.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M11;15.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M10;25.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M09;33.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M08;74.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M07;60.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M06;26.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M05;14.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M04;11.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M03;9.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M02;6.000
Number of nights;National Total;14 Murcia, Región de;Total;2021M01;5.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M12;6.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M11;5.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M10;11.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M09;17.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M08;58.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M07;41.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M06;11.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M05;3.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M04;2.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M03;9.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M02;17.000
Number of nights;National Total;14 Murcia, Región de;Total;2020M01;15.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M12;17.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M11;14.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M10;24.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M09;39.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M08;89.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M07;70.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M06;39.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M05;25.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M04;27.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M03;15.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M02;14.000
Number of nights;National Total;14 Murcia, Región de;Total;2019M01;13.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M12;15.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M11;12.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M10;22.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M09;36.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M08;75.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M07;61.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M06;33.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M05;21.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M04;17.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M03;17.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M02;10.000
Number of nights;National Total;14 Murcia, Región de;Total;2018M01;9.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M09;""
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M08;""
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M07;""
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M06;35.284
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M05;22.786
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M04;15.156
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M03;24.299
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M02;12.140
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2024M01;10.035
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M12;16.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M11;11.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M10;16.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M09;27.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M08;67.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M07;53.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M06;27.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M05;14.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M04;26.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M03;11.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M02;9.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2023M01;8.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M12;13.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M11;9.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M10;12.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M09;23.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M08;55.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M07;46.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M06;26.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M05;12.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M04;20.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M03;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M02;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2022M01;6.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M12;10.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M11;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M10;11.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M09;19.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M08;57.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M07;46.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M06;21.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M05;10.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M04;8.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M03;6.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M02;4.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2021M01;3.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M12;4.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M11;3.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M10;8.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M09;13.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M08;47.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M07;31.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M06;10.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M05;2.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M04;..
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M03;3.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M02;6.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2020M01;5.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M12;8.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M11;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M10;8.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M09;17.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M08;50.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M07;36.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M06;19.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M05;11.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M04;14.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M03;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M02;4.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2019M01;4.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M12;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M11;6.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M10;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M09;15.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M08;40.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M07;29.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M06;15.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M05;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M04;7.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M03;9.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M02;3.000
Number of nights;National Total;14 Murcia, Región de;Residents in Spain;2018M01;3.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M09;""
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M08;""
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M07;""
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M06;27.780
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M05;24.998
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M04;23.148
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M03;21.028
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M02;20.152
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2024M01;17.599
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M12;16.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M11;15.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M10;25.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M09;25.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M08;40.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M07;34.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M06;21.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M05;20.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M04;17.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M03;13.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M02;14.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2023M01;14.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M12;13.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M11;13.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M10;20.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M09;21.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M08;37.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M07;33.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M06;19.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M05;16.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M04;15.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M03;11.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M02;10.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2022M01;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M12;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M11;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M10;14.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M09;14.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M08;17.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M07;15.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M06;6.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M05;4.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M04;3.000
